date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-03,7.201330661773682,6.608259201049805,11.052190780639648,18.030513763427734,20.601821899414062,12.055182456970215,5.478072643280029,20.350996017456055,11.12885856628418
2000-01-04,7.1320037841796875,6.483867645263672,10.569029808044434,17.53238296508789,19.55663299560547,11.715709686279297,5.312828540802002,19.889184951782227,10.794066429138184
2000-01-05,7.426644325256348,6.654903411865234,10.48598861694336,17.454246520996094,19.26630973815918,11.922703742980957,5.446898460388184,19.710758209228516,10.661301612854004
2000-01-06,7.617291450500488,6.911464214324951,10.94649600982666,17.68865394592285,18.627573013305664,12.14625358581543,5.437544345855713,19.773725509643555,10.782525062561035
2000-01-07,7.612966060638428,6.985321998596191,11.127676010131836,18.362600326538086,18.9527530670166,12.916259765625,5.484312057495117,20.015134811401367,11.29047966003418
2000-01-10,7.586963176727295,6.927009582519531,10.931397438049316,18.362600326538086,19.67276382446289,12.626474380493164,5.503015041351318,22.061784744262695,11.232757568359375
2000-01-11,7.495971202850342,6.934784889221191,10.750212669372559,18.128196716308594,19.11532211303711,12.626474380493164,5.443779945373535,21.474018096923828,11.16926097869873
2000-01-12,7.3876447677612305,6.903686046600342,10.961600303649902,17.913307189941406,19.034029006958008,12.692708015441895,5.38765287399292,21.117176055908203,11.105766296386719
2000-01-13,7.41797399520874,7.024191856384277,11.293766021728516,18.255168914794922,19.208240509033203,12.758946418762207,5.337774753570557,21.746912002563477,11.163487434387207
2000-01-14,7.365981101989746,6.981431007385254,11.557992935180664,18.128196716308594,19.649538040161133,12.800345420837402,5.381420135498047,21.557981491088867,11.134632110595703
2000-01-18,7.1883344650268555,7.066950798034668,11.172974586486816,18.108659744262695,19.75405502319336,12.585071563720703,5.359595775604248,21.159147262573242,11.071136474609375
2000-01-19,7.049676418304443,7.043630123138428,11.135231971740723,18.050046920776367,19.78889274597168,12.67615032196045,5.3627142906188965,21.662948608398438,11.048048973083496
2000-01-20,6.863362789154053,7.043630123138428,10.931397438049316,17.932842254638672,19.905033111572266,12.502278327941895,5.38765287399292,21.495006561279297,10.897963523864746
2000-01-21,6.8936896324157715,7.237985610961914,10.795513153076172,17.70819091796875,19.92825698852539,12.361527442932129,5.562255382537842,21.453025817871094,10.67284870147705
2000-01-24,6.711709499359131,6.981431007385254,10.59922981262207,17.20029067993164,19.277917861938477,12.005501747131348,5.487425327301025,20.81279945373535,10.274565696716309
2000-01-25,6.586053371429443,6.965882778167725,10.712465286254883,17.10261344909668,19.6901798248291,11.856463432312012,5.359595775604248,20.959735870361328,10.338062286376953
2000-01-26,6.586053371429443,6.857041358947754,11.112580299377441,17.239360809326172,19.045654296875,11.964101791381836,5.33465576171875,20.865280151367188,10.41309642791748
2000-01-27,6.620715618133545,6.717101097106934,11.233368873596191,17.337020874023438,18.85984230041504,12.187650680541992,5.300355911254883,20.73933219909668,10.38424301147461
2000-01-28,6.508062362670898,6.6393585205078125,10.840811729431152,16.877962112426758,18.1862735748291,12.088294982910156,5.272295951843262,20.319499969482422,9.974410057067871
2000-01-31,6.469067096710205,6.794843673706055,11.142776489257812,16.99518394470215,18.790159225463867,12.311846733093262,5.51548957824707,20.225046157836914,10.049448013305664
2000-02-01,6.586053371429443,6.779295444488525,11.203171730041504,16.877962112426758,19.185014724731445,12.187650680541992,5.4749603271484375,20.4874324798584,10.41309642791748
2000-02-02,6.6163859367370605,6.822056293487549,11.089936256408691,16.887731552124023,19.324365615844727,12.21249008178711,5.446898460388184,20.99122428894043,10.343836784362793
2000-02-03,6.503732681274414,6.740426540374756,11.021989822387695,16.877962112426758,19.881803512573242,12.046893119812012,5.437544345855713,21.180150985717773,10.38424301147461
2000-02-04,6.4950642585754395,6.5460662841796875,10.90875244140625,16.946338653564453,20.114078521728516,12.038618087768555,5.409483432769775,21.25362205505371,10.366920471191406
2000-02-07,6.369409084320068,6.619920253753662,10.795513153076172,16.653324127197266,20.34632682800293,12.022055625915527,5.393893241882324,20.90726089477539,10.14758014678955
2000-02-08,6.352075099945068,6.561614036560059,10.916300773620605,16.7216854095459,20.532136917114258,12.17109489440918,5.406365394592285,21.13816261291504,10.378467559814453
2000-02-09,6.226424217224121,6.343928813934326,10.659626007080078,16.545879364013672,20.276647567749023,12.063459396362305,5.406365394592285,20.760313034057617,10.205301284790039
2000-02-10,6.174429416656494,6.476095676422119,10.365200996398926,16.26262664794922,20.75860023498535,11.657753944396973,5.328418731689453,20.581890106201172,10.112940788269043
2000-02-11,6.022772789001465,6.398351192474365,10.387845039367676,15.920769691467285,20.20697021484375,11.434206008911133,5.2348833084106445,20.592391967773438,9.968639373779297
2000-02-14,6.122432231903076,6.499417304992676,10.478440284729004,16.17470932006836,20.218584060668945,11.49216365814209,5.241117477416992,20.214555740356445,10.020586967468262
2000-02-15,6.3867363929748535,6.771523475646973,10.49354076385498,16.457971572875977,20.276647567749023,11.748828887939453,5.2286481857299805,20.057113647460938,10.043675422668457
2000-02-16,6.23942232131958,6.8026227951049805,10.274612426757812,16.418903350830078,20.172134399414062,11.583235740661621,5.206822872161865,19.4903507232666,9.651161193847656
2000-02-17,6.226424217224121,6.794843673706055,10.146269798278809,16.487268447875977,20.625043869018555,11.409364700317383,5.17564058303833,19.4798583984375,9.374101638793945
2000-02-18,6.035770893096924,6.596597194671631,9.783905982971191,16.125877380371094,19.92825698852539,11.27688980102539,4.985453128814697,18.944578170776367,9.235559463500977
2000-02-22,6.226424217224121,6.538288593292236,9.874497413635254,16.38959312438965,19.881803512573242,11.459040641784668,4.966747760772705,18.808134078979492,9.258654594421387
2000-02-23,6.1570963859558105,6.367254257202148,9.836747169494629,16.26262664794922,20.485685348510742,11.210648536682129,4.863858222961426,19.102018356323242,9.229791641235352
2000-02-24,5.9361162185668945,6.297285079956055,9.632920265197754,16.116119384765625,20.741178512573242,10.978821754455566,4.701726913452148,18.955078125,8.935409545898438
2000-02-25,5.840788841247559,6.17289400100708,9.572526931762695,15.832860946655273,20.543758392333984,10.70559310913086,4.67678689956665,18.367321014404297,8.970043182373047
2000-02-28,5.858120918273926,6.359478950500488,9.882044792175293,15.881696701049805,20.299877166748047,10.912580490112305,4.810853004455566,18.692689895629883,9.293291091918945
2000-02-29,5.819123268127441,6.507192611694336,9.949987411499023,16.057506561279297,20.764402389526367,10.871182441711426,4.845149517059326,18.90259552001953,9.489541053771973
2000-03-01,5.758467197418213,6.670454978942871,10.085877418518066,15.969608306884766,20.973440170288086,10.771828651428223,5.057166576385498,19.060020446777344,9.379871368408203
2000-03-02,5.632808685302734,6.794843673706055,10.025482177734375,16.028207778930664,21.18248176574707,10.79666805267334,5.188111782073975,18.976064682006836,9.368326187133789
2000-03-03,5.814793109893799,6.686001777648926,10.116076469421387,16.467744827270508,21.768949508666992,10.738713264465332,5.2348833084106445,19.23845672607422,9.541494369506836
2000-03-06,5.676139831542969,6.647130012512207,10.01793384552002,16.39936637878418,21.734113693237305,10.482044219970703,5.088343143463135,18.860620498657227,9.316373825073242
2000-03-07,5.494156360626221,7.105821132659912,9.715958595275879,15.744962692260742,21.13602638244629,9.919028282165527,5.029106616973877,18.514257431030273,9.056628227233887
2000-03-08,5.611148834228516,6.9892072677612305,9.602721214294434,15.910998344421387,21.50765609741211,10.225374221801758,5.06340217590332,18.4197940826416,9.166300773620605
2000-03-09,5.602480411529541,6.996983051300049,9.655564308166504,16.077043533325195,22.157991409301758,10.498601913452148,5.103931903839111,18.85011100769043,9.3510103225708
2000-03-10,5.650143623352051,6.903686046600342,9.685765266418457,16.116119384765625,22.20444107055664,10.374406814575195,5.103931903839111,18.692689895629883,9.22402286529541
2000-03-13,5.736800193786621,6.8026227951049805,9.783905982971191,15.871929168701172,21.8792724609375,10.208812713623047,5.11952018737793,18.556241989135742,9.148981094360352
2000-03-14,5.637144565582275,6.888140678405762,9.746158599853516,15.78402328491211,21.379911422729492,10.150856971740723,5.085224628448486,18.608718872070312,9.166300773620605
2000-03-15,5.975109577178955,6.857041358947754,10.342551231384277,16.418903350830078,21.00828742980957,10.79666805267334,5.113284587860107,18.703182220458984,9.72043514251709
2000-03-16,6.326079368591309,7.152469635009766,11.233368873596191,17.307729721069336,21.739913940429688,11.260332107543945,5.312828540802002,19.66877555847168,10.436189651489258
2000-03-17,6.115241527557373,6.934616565704346,11.236703872680664,17.284706115722656,22.250898361206055,11.213417053222656,5.355573654174805,19.68978500366211,10.462336540222168
2000-03-20,6.189080715179443,6.82541036605835,11.024548530578613,17.382585525512695,22.157991409301758,11.11374282836914,5.3335862159729,20.067611694335938,10.364015579223633
2000-03-21,6.262913703918457,7.043823719024658,11.426131248474121,17.754507064819336,22.7386531829834,11.321398735046387,5.299036502838135,20.193552017211914,10.479683876037598
2000-03-22,6.102211952209473,6.989220142364502,11.524629592895508,17.676212310791016,23.13349151611328,11.230025291442871,5.176528453826904,20.70783805847168,10.4334135055542
2000-03-23,6.2889723777771,6.981418132781982,11.926216125488281,18.087295532226562,23.574796676635742,11.138656616210938,5.264479160308838,20.79181480407715,10.462336540222168
2000-03-24,6.25856876373291,6.997020721435547,12.062601089477539,18.1949405670166,23.778038024902344,10.939309120178223,5.214221954345703,20.970245361328125,10.49703311920166
2000-03-27,6.232508182525635,7.020421504974365,11.668595314025879,17.969833374023438,23.96965217590332,10.798105239868164,5.286467552185059,20.823299407958984,10.468111038208008
2000-03-28,6.115241527557373,6.989220142364502,11.759517669677734,17.920888900756836,23.388992309570312,10.922699928283691,5.261341571807861,20.84427833557129,10.502819061279297
2000-03-29,6.241196155548096,7.355843544006348,11.668595314025879,18.146011352539062,22.703821182250977,11.188491821289062,5.355573654174805,20.5294189453125,10.711017608642578
2000-03-30,6.410579681396484,7.355843544006348,11.691322326660156,18.263456344604492,22.08831214904785,11.338007926940918,5.343009948730469,20.23554229736328,10.948140144348145
2000-03-31,6.406237602233887,7.316841125488281,11.76709270477295,18.29281997680664,22.506389617919922,11.279866218566895,5.374421119689941,20.602890014648438,10.832467079162598
2000-04-03,6.614714622497559,7.441647529602051,12.335376739501953,18.371124267578125,21.554107666015625,11.794854164123535,5.408971309661865,20.592391967773438,11.156350135803223
2000-04-04,6.553907871246338,7.348043441772461,11.842864036560059,18.16558837890625,21.34507179260254,12.12710189819336,5.484358787536621,20.361480712890625,11.017548561096191
2000-04-05,6.501789093017578,7.1296281814575195,11.75193977355957,18.097064971923828,21.484420776367188,11.960980415344238,5.556602954864502,20.225046157836914,11.034895896911621
2000-04-06,6.462698459625244,7.316841125488281,11.880741119384766,18.253677368164062,21.763145446777344,11.745012283325195,5.591155529022217,20.613374710083008,11.150564193725586
2000-04-07,6.358460426330566,7.203734874725342,11.638286590576172,18.52772331237793,22.506389617919922,11.595502853393555,5.575451374053955,20.665863037109375,11.150564193725586
2000-04-10,6.514820098876953,7.0984296798706055,11.971673965454102,18.55709457397461,21.693462371826172,11.886225700378418,5.562887191772461,20.5294189453125,11.41082763671875
2000-04-11,6.671170234680176,7.2232346534729,12.123213768005371,18.782188415527344,21.159259796142578,12.093887329101562,5.707376480102539,20.70783805847168,11.491795539855957
2000-04-12,6.844901084899902,7.285640239715576,12.176248550415039,18.449424743652344,19.78889274597168,12.235084533691406,5.757633686065674,20.329999923706055,11.468656539916992
2000-04-13,6.653804779052734,7.27003812789917,11.858013153076172,18.498363494873047,19.411466598510742,12.152023315429688,5.763917922973633,19.815717697143555,11.254668235778809
2000-04-14,6.2889723777771,7.1140265464782715,10.895740509033203,17.284706115722656,18.395313262939453,11.553971290588379,5.553461074829102,18.61921501159668,10.364015579223633
2000-04-17,6.29765510559082,6.942416667938232,10.986662864685059,17.705568313598633,19.3940486907959,11.886225700378418,5.468652248382568,18.776655197143555,10.375579833984375
2000-04-18,6.180389881134033,6.977519512176514,11.426131248474121,17.774085998535156,20.497304916381836,11.960980415344238,5.484358787536621,19.290935516357422,10.595349311828613
2000-04-19,6.102211952209473,7.1296281814575195,11.274587631225586,17.84259605407715,19.823741912841797,12.102180480957031,5.534617900848389,19.79472541809082,10.676318168640137
2000-04-20,6.254225730895996,7.141332626342773,11.486742973327637,17.989410400390625,19.649538040161133,12.093887329101562,5.553461074829102,19.878684997558594,10.8151273727417
2000-04-24,6.267251014709473,7.219334602355957,11.759517669677734,18.00898551940918,19.045654296875,12.426126480102539,5.704235553741455,19.595306396484375,10.930791854858398
2000-04-25,6.275942802429199,7.231035232543945,12.123213768005371,18.948572158813477,20.14889907836914,12.367985725402832,5.873854637145996,20.088607788085938,11.127432823181152
2000-04-26,6.167359352111816,7.324640274047852,11.880741119384766,18.664745330810547,19.765670776367188,12.226774215698242,5.861288547515869,20.298519134521484,11.115862846374512
2000-04-27,6.145645618438721,7.426046848297119,11.638286590576172,18.684322357177734,20.381166458129883,12.226774215698242,5.729363918304443,20.17256736755371,10.884523391723633
2000-04-28,6.193419933319092,7.207632541656494,11.880741119384766,18.55709457397461,20.43923568725586,11.87791633605957,5.726224899291992,20.361480712890625,10.606917381286621
2000-05-01,6.184733867645264,7.324640274047852,11.615558624267578,18.98772430419922,20.729568481445312,12.027425765991211,5.726224899291992,20.424467086791992,10.930791854858398
2000-05-02,6.375836372375488,7.429952144622803,11.501901626586914,18.791982650756836,20.34632682800293,12.060649871826172,5.51890754699707,20.015134811401367,10.855607986450195
2000-05-03,6.2715959548950195,7.238836288452148,11.297322273254395,18.16558837890625,19.463726043701172,12.060649871826172,5.53775691986084,19.458866119384766,10.340877532958984
2000-05-04,6.336745738983154,7.426046848297119,11.12304973602295,18.1949405670166,19.324365615844727,12.060649871826172,5.5283308029174805,19.395889282226562,10.17315673828125
2000-05-05,6.332404613494873,7.5040507316589355,11.198824882507324,18.517929077148438,19.852764129638672,12.343061447143555,5.540895938873291,19.37490463256836,10.300396919250488
2000-05-08,6.29765510559082,7.597655296325684,11.418550491333008,18.508146286010742,19.150165557861328,12.600558280944824,5.578588485717773,19.41688346862793,10.271476745605469
2000-05-09,6.410579681396484,7.601558208465576,11.3882417678833,18.361339569091797,18.79596710205078,12.658705711364746,5.559743881225586,19.280439376831055,10.375579833984375
2000-05-10,6.332404613494873,7.624958515167236,11.085161209106445,18.175378799438477,17.884334564208984,12.575637817382812,5.666538715362549,19.24895477294922,10.375579833984375
2000-05-11,6.414922714233398,7.862874984741211,11.418550491333008,18.625598907470703,18.38951301574707,12.55903148651123,5.751352310180664,19.227962493896484,10.468111038208008
2000-05-12,6.436640739440918,7.890174865722656,11.547364234924316,18.850709915161133,18.627573013305664,12.392905235290527,5.660260200500488,19.563825607299805,10.618481636047363
2000-05-15,6.549563407897949,8.053988456726074,12.062601089477539,19.16391372680664,18.97597885131836,12.700231552124023,5.770197868347168,19.889184951782227,10.653186798095703
2000-05-16,6.480069637298584,7.897977828979492,11.994407653808594,19.34008026123047,19.545011520385742,12.642093658447266,5.745070457458496,20.151582717895508,10.734158515930176
2000-05-17,6.4974446296691895,7.936984062194824,11.789822578430176,19.212848663330078,19.26630973815918,12.68361759185791,5.65711784362793,19.920658111572266,10.479683876037598
2000-05-18,6.445326805114746,7.9252753257751465,11.94136905670166,19.124759674072266,18.778554916381836,12.658705711364746,5.704235553741455,19.89968490600586,10.687888145446777
2000-05-19,6.462698459625244,7.940876007080078,11.729214668273926,18.596233367919922,18.046916961669922,12.75007152557373,5.597436904907227,19.37490463256836,10.416065216064453
2000-05-22,6.427953243255615,7.874573230743408,11.880741119384766,18.27324676513672,17.965620040893555,12.708540916442871,5.635128974914551,19.15449333190918,10.259908676147461
2000-05-23,6.336745738983154,7.843377113342285,11.956523895263672,18.1949405670166,17.094635009765625,12.642093658447266,5.5314764976501465,18.997058868408203,10.213640213012695
2000-05-24,6.310686111450195,7.851169586181641,12.108060836791992,18.459211349487305,17.768199920654297,12.9161958694458,5.625707149505615,19.12301254272461,10.028568267822266
2000-05-25,6.080496788024902,7.706863880157471,11.804983139038086,18.126432418823242,17.47785758972168,12.88296890258789,5.5314764976501465,18.976064682006836,9.936034202575684
2000-05-26,5.984943866729736,7.710763454437256,11.759517669677734,18.028564453125,17.535932540893555,12.924498558044434,5.641412258148193,18.829130172729492,9.727828025817871
2000-05-30,6.050094127655029,7.819972038269043,12.001983642578125,18.351547241210938,18.67403221130371,12.849750518798828,5.682249546051025,19.605810165405273,9.803011894226074
2000-05-31,5.997973442077637,8.053988456726074,12.145944595336914,18.478784561157227,18.314022064208984,12.72514820098877,5.713656902313232,19.815717697143555,10.034351348876953
2000-06-01,6.015350341796875,7.979876518249512,12.547530174255371,18.625598907470703,19.138551712036133,12.758374214172363,5.754492282867432,19.68978500366211,10.109535217285156
2000-06-02,6.115241527557373,7.706863880157471,13.062767028808594,18.762617111206055,20.009553909301758,12.31813907623291,5.7356462478637695,20.17256736755371,10.387147903442383
2000-06-05,6.063126087188721,7.597655296325684,12.767260551452637,18.733257293701172,20.067617416381836,12.301533699035645,5.603720664978027,20.109596252441406,10.329313278198242
2000-06-06,6.071807861328125,7.894076824188232,12.486913681030273,18.596233367919922,19.78889274597168,12.343061447143555,5.7356462478637695,19.941673278808594,9.999653816223145
2000-06-07,5.9415130615234375,7.79266881942749,12.668766021728516,18.508146286010742,20.160524368286133,12.475961685180664,5.757633686065674,19.889184951782227,9.999653816223145
2000-06-08,5.932826995849609,7.831671714782715,12.456603050231934,18.214523315429688,20.067617416381836,12.475961685180664,5.792184829711914,19.73175048828125,9.901331901550293
2000-06-09,5.924139976501465,7.78096866607666,12.244441986083984,18.283031463623047,20.114078521728516,12.617171287536621,5.864432334899902,20.025632858276367,9.739395141601562
