basket,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
credit_bond_ETFs,target_combined,0.01,3754,23,0.006126798082045818,0.4316478855185112,0.006351191058907022,361,8,15,0.09675690163495042,0.34782608695652173,0.02168021680216802,0.09829515183803943,16,15,0.6219281663516069,0.11698812043160949,1
credit_bond_ETFs,target_combined,0.05,3754,23,0.006126798082045818,0.4316478855185112,0.006351191058907022,414,8,15,0.11096220852318413,0.34782608695652173,0.018957345971563982,0.11241342567927544,29,28,0.6219281663516069,0.11698812043160949,1
credit_bond_ETFs,target_combined,0.1,3754,23,0.006126798082045818,0.4316478855185112,0.006351191058907022,612,13,10,0.16403109086035916,0.5652173913043478,0.0208,0.16648907831646245,44,43,0.6219281663516069,0.11698812043160949,1
credit_bond_ETFs,target_market,0.01,3754,23,0.006126798082045818,0.431508046566371,0.006584106437395776,353,8,15,0.09461270436880193,0.34782608695652173,0.0221606648199446,0.0961640916355887,13,12,0.6136105860113421,0.1157827699038491,1
credit_bond_ETFs,target_market,0.05,3754,23,0.006126798082045818,0.431508046566371,0.006584106437395776,420,8,15,0.1125703564727955,0.34782608695652173,0.018691588785046728,0.11401172083111348,27,26,0.6136105860113421,0.1157827699038491,1
credit_bond_ETFs,target_market,0.1,3754,23,0.006126798082045818,0.431508046566371,0.006584106437395776,654,13,10,0.1752881265076387,0.5652173913043478,0.019490254872563718,0.17767714437932872,35,34,0.6136105860113421,0.1157827699038491,1
credit_bond_ETFs,target_topology,0.01,3754,23,0.006126798082045818,0.16772516984606062,0.006171732898578008,69,1,22,0.018493701420530688,0.043478260869565216,0.014285714285714285,0.018646776771443795,29,28,0.5506616257088847,0.1399209486166008,1
credit_bond_ETFs,target_topology,0.05,3754,23,0.006126798082045818,0.16772516984606062,0.006171732898578008,142,3,20,0.03805950147413562,0.13043478260869565,0.020689655172413793,0.03862546616941929,55,53,0.5506616257088847,0.1399209486166008,1
credit_bond_ETFs,target_topology,0.1,3754,23,0.006126798082045818,0.16772516984606062,0.006171732898578008,224,3,20,0.0600375234521576,0.13043478260869565,0.013215859030837005,0.06046883324453916,79,77,0.5506616257088847,0.1399209486166008,1
credit_bond_ETFs,target_topology_xgb,0.01,3754,23,0.006126798082045818,0.22728491021173947,0.007613373055279708,0,0,23,0.0,0.0,0.0,0.0,0,0,0.5,0.09090909090909091,1
credit_bond_ETFs,target_topology_xgb,0.05,3754,23,0.006126798082045818,0.22728491021173947,0.007613373055279708,13,0,23,0.003484320557491289,0.0,0.0,0.0034629728289824187,5,5,0.5,0.09090909090909091,1
credit_bond_ETFs,target_topology_xgb,0.1,3754,23,0.006126798082045818,0.22728491021173947,0.007613373055279708,20,0,23,0.005360493165371214,0.0,0.0,0.005327650506126798,5,5,0.5,0.09090909090909091,1
international_indices,target_combined,0.01,1394,46,0.03299856527977044,0.9294607147464844,0.19063802170128194,164,33,13,0.12166172106824925,0.717391304347826,0.16751269035532995,0.14131994261119082,9,7,0.4220507753116449,0.5234491607275082,2
international_indices,target_combined,0.05,1394,46,0.03299856527977044,0.9294607147464844,0.19063802170128194,217,33,13,0.1609792284866469,0.717391304347826,0.132,0.1793400286944046,9,7,0.4220507753116449,0.5234491607275082,2
international_indices,target_combined,0.1,1394,46,0.03299856527977044,0.9294607147464844,0.19063802170128194,250,43,3,0.18545994065281898,0.9347826086956522,0.14675767918088736,0.21018651362984217,13,10,0.4220507753116449,0.5234491607275082,2
international_indices,target_market,0.01,1394,46,0.03299856527977044,0.9294607147464844,0.19063802170128194,164,33,13,0.12166172106824925,0.717391304347826,0.16751269035532995,0.14131994261119082,9,7,0.4220507753116449,0.5234491607275082,2
international_indices,target_market,0.05,1394,46,0.03299856527977044,0.9294607147464844,0.19063802170128194,217,33,13,0.1609792284866469,0.717391304347826,0.132,0.1793400286944046,9,7,0.4220507753116449,0.5234491607275082,2
international_indices,target_market,0.1,1394,46,0.03299856527977044,0.9294607147464844,0.19063802170128194,250,43,3,0.18545994065281898,0.9347826086956522,0.14675767918088736,0.21018651362984217,13,10,0.4220507753116449,0.5234491607275082,2
international_indices,target_topology,0.01,1394,46,0.03299856527977044,0.3371822990581861,0.04256042437818181,0,0,46,0.0,0.0,0.0,0.0,0,0,0.5,0.4495662817306157,2
international_indices,target_topology,0.05,1394,46,0.03299856527977044,0.3371822990581861,0.04256042437818181,0,0,46,0.0,0.0,0.0,0.0,0,0,0.5,0.4495662817306157,2
international_indices,target_topology,0.1,1394,46,0.03299856527977044,0.3371822990581861,0.04256042437818181,0,0,46,0.0,0.0,0.0,0.0,0,0,0.5,0.4495662817306157,2
international_indices,target_topology_xgb,0.01,1394,46,0.03299856527977044,0.3317636434008515,0.042462915087592375,0,0,46,0.0,0.0,0.0,0.0,0,0,0.5,0.4495662817306157,2
international_indices,target_topology_xgb,0.05,1394,46,0.03299856527977044,0.3317636434008515,0.042462915087592375,0,0,46,0.0,0.0,0.0,0.0,0,0,0.5,0.4495662817306157,2
international_indices,target_topology_xgb,0.1,1394,46,0.03299856527977044,0.3317636434008515,0.042462915087592375,0,0,46,0.0,0.0,0.0,0.0,0,0,0.5,0.4495662817306157,2
