target,model,budget,event,onset,peak,fully_observed,first_alarm,lead_sessions,alarm_days,censored
loss05,market,0.1,2022-02-22,2022-02-22,2022-01-03,True,2022-01-24,20.0,15,False
loss05,topology_pi_xgb,0.01,2008-01-08,2008-01-08,2007-10-09,True,,,0,False
loss05,topology_pi_xgb,0.01,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
loss05,topology_pi_xgb,0.01,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
loss05,topology_pi_xgb,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
loss05,topology_pi_xgb,0.01,2020-02-27,2020-02-27,2020-02-19,True,,,0,False
loss05,topology_pi_xgb,0.01,2022-02-22,2022-02-22,2022-01-03,True,,,0,False
loss05,topology_pi_xgb,0.05,2008-01-08,2008-01-08,2007-10-09,True,,,0,False
loss05,topology_pi_xgb,0.05,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
loss05,topology_pi_xgb,0.05,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
loss05,topology_pi_xgb,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
loss05,topology_pi_xgb,0.05,2020-02-27,2020-02-27,2020-02-19,True,2020-01-29,20.0,3,False
loss05,topology_pi_xgb,0.05,2022-02-22,2022-02-22,2022-01-03,True,,,0,False
loss05,topology_pi_xgb,0.1,2008-01-08,2008-01-08,2007-10-09,True,,,0,False
loss05,topology_pi_xgb,0.1,2015-08-24,2015-08-24,2015-07-20,True,2015-07-27,20.0,1,False
loss05,topology_pi_xgb,0.1,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
loss05,topology_pi_xgb,0.1,2018-12-14,2018-12-14,2018-09-20,True,2018-12-06,6.0,6,False
loss05,topology_pi_xgb,0.1,2020-02-27,2020-02-27,2020-02-19,True,2020-01-29,20.0,3,False
loss05,topology_pi_xgb,0.1,2022-02-22,2022-02-22,2022-01-03,True,2022-02-10,7.0,1,False
loss05,topology_pi_xgb_regime,0.01,2008-01-08,2008-01-08,2007-10-09,True,,,0,False
loss05,topology_pi_xgb_regime,0.01,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
loss05,topology_pi_xgb_regime,0.01,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
loss05,topology_pi_xgb_regime,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
loss05,topology_pi_xgb_regime,0.01,2020-02-27,2020-02-27,2020-02-19,True,2020-02-21,4.0,1,False
loss05,topology_pi_xgb_regime,0.01,2022-02-22,2022-02-22,2022-01-03,True,,,0,False
loss05,topology_pi_xgb_regime,0.05,2008-01-08,2008-01-08,2007-10-09,True,2008-01-03,3.0,1,False
loss05,topology_pi_xgb_regime,0.05,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
loss05,topology_pi_xgb_regime,0.05,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
loss05,topology_pi_xgb_regime,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
loss05,topology_pi_xgb_regime,0.05,2020-02-27,2020-02-27,2020-02-19,True,2020-01-31,18.0,5,False
loss05,topology_pi_xgb_regime,0.05,2022-02-22,2022-02-22,2022-01-03,True,,,0,False
loss05,topology_pi_xgb_regime,0.1,2008-01-08,2008-01-08,2007-10-09,True,2008-01-03,3.0,3,False
loss05,topology_pi_xgb_regime,0.1,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
loss05,topology_pi_xgb_regime,0.1,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
loss05,topology_pi_xgb_regime,0.1,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
loss05,topology_pi_xgb_regime,0.1,2020-02-27,2020-02-27,2020-02-19,True,2020-01-31,18.0,6,False
loss05,topology_pi_xgb_regime,0.1,2022-02-22,2022-02-22,2022-01-03,True,,,0,False
