target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
loss10,combined_z,market,20,500,0.0009473024642605299,-0.011423649129095848,0.013962447439607877,True,-0.013885275799136815,0.01693286501291393,0.614
loss10,combined_ews,market,20,500,-0.020652743839253723,-0.062400610833000886,0.015932355272774597,True,-0.07015380159111563,0.021537137203858712,0.148
loss10,combined,market,20,500,0.0023349805774080246,-0.011946419598477732,0.017685821785677708,False,-0.01385997408782533,0.021047622733930963,0.576
loss10,combined_z_correlation,market_correlation,20,500,0.004097629882604037,-0.008988820971810196,0.01725285684364964,False,-0.011736286458823048,0.019459518612362763,0.76
loss10,combined_ews_correlation,market_correlation,20,500,0.0027053050303409987,-0.02726109996387699,0.031246964729360165,False,-0.031343842851087385,0.034819668591232145,0.57
loss10,combined_correlation,market_correlation,20,500,0.005436162093783725,-0.0015219729269498128,0.015328776154441982,False,-0.002694963530965954,0.01839281818140231,0.926
loss10,combined_z,VIX,20,500,-0.040768583524052326,-0.07849026143620459,0.0008415221731002524,False,-0.08896756926269715,0.004861337162023114,0.03
loss10,combined_ews,VIX,20,500,-0.06236862982756658,-0.1273615915790769,0.00413947247236982,False,-0.13336629446131126,0.010647535588552207,0.038
loss10,combined,VIX,20,500,-0.03938090541090483,-0.07321118270748311,-0.003730694998710429,False,-0.07797848317549805,-0.0009758229889873484,0.008
loss10,market,VIX,20,500,-0.041715885988312856,-0.07324213339199942,-0.004373242978554894,False,-0.081995394652601,-0.00207897251820041,0.008
loss10,topology_z,topology,20,500,0.01719067727227138,-0.016014425326593175,0.044644279975740934,False,-0.027163809548587776,0.04656586643861508,0.922
loss10,topology_ews,topology,20,500,0.005571841722661355,-0.007871601447094905,0.051881975800812635,False,-0.01074273236166422,0.06523791645591075,0.734
loss10,combined_z,market,60,500,0.0009473024642605299,-0.010607897847148615,0.013080106204343488,True,-0.012759222805140124,0.01482260534956446,0.626
loss10,combined_ews,market,60,500,-0.020652743839253723,-0.056468978125731685,0.01494997078561866,True,-0.06167510254204184,0.018622085603539607,0.168
loss10,combined,market,60,500,0.0023349805774080246,-0.011505254547497719,0.010378373104131488,False,-0.013687130251933764,0.011543370988969978,0.514
loss10,combined_z_correlation,market_correlation,60,500,0.004097629882604037,-0.010339085680917985,0.017495022394169685,False,-0.012308789841026574,0.019377416645150698,0.76
loss10,combined_ews_correlation,market_correlation,60,500,0.0027053050303409987,-0.03221795093275945,0.031360309327848626,False,-0.03634478012644332,0.038815076463469746,0.564
loss10,combined_correlation,market_correlation,60,500,0.005436162093783725,-0.0014752985701828542,0.013054922248585359,False,-0.0019200233108059815,0.01398405039126966,0.924
loss10,combined_z,VIX,60,500,-0.040768583524052326,-0.07484674031339865,0.006948148336149509,False,-0.08328938012237021,0.009015927502516312,0.05
loss10,combined_ews,VIX,60,500,-0.06236862982756658,-0.11967374303271798,0.013365648393030349,False,-0.1302322807181979,0.02198539123700557,0.056
loss10,combined,VIX,60,500,-0.03938090541090483,-0.06838831580157866,0.0015120525398181035,False,-0.07386261537272706,0.004768087083798263,0.032
loss10,market,VIX,60,500,-0.041715885988312856,-0.06974783437250519,0.0027077690363235154,False,-0.07723175002550668,0.004615370779086721,0.034
loss10,topology_z,topology,60,500,0.01719067727227138,-0.01576159575842779,0.04178938112077057,False,-0.037492331960242674,0.04432693695576793,0.892
loss10,topology_ews,topology,60,500,0.005571841722661355,-0.012335394642282685,0.04587245853186868,False,-0.015410190935077724,0.06089331673902078,0.7
loss10,combined_z,market,120,500,0.0009473024642605299,-0.009169493683814232,0.011556842601952921,True,-0.010853626974204564,0.013627212233897337,0.606
loss10,combined_ews,market,120,500,-0.020652743839253723,-0.054103886185750204,0.016793090889384105,True,-0.05832404206455918,0.02036221913544328,0.248
loss10,combined,market,120,500,0.0023349805774080246,-0.008928714820131002,0.01007753015990967,False,-0.011110371082213797,0.012468764803109841,0.524
loss10,combined_z_correlation,market_correlation,120,500,0.004097629882604037,-0.008678264318081089,0.018445678876593888,False,-0.010405283012818924,0.020236592301159866,0.802
loss10,combined_ews_correlation,market_correlation,120,500,0.0027053050303409987,-0.02544211212536437,0.026886594275013883,False,-0.029630396214991445,0.029395564007779776,0.602
loss10,combined_correlation,market_correlation,120,500,0.005436162093783725,-0.0018866286120932196,0.012241212841489374,False,-0.002413201287780498,0.012968212747919412,0.884
loss10,combined_z,VIX,120,500,-0.040768583524052326,-0.0697216365872824,0.008409745470212917,False,-0.07305916730911646,0.012479925170599307,0.066
loss10,combined_ews,VIX,120,500,-0.06236862982756658,-0.11287765565628771,0.015087229177614873,False,-0.12248416299275038,0.020393744365721937,0.09
loss10,combined,VIX,120,500,-0.03938090541090483,-0.06139263640231276,0.00496369237780716,False,-0.06438888524324331,0.008280043384521445,0.052
loss10,market,VIX,120,500,-0.041715885988312856,-0.06416900873484836,0.004985310687135742,False,-0.06867012489118618,0.008057140064118095,0.052
loss10,topology_z,topology,120,500,0.01719067727227138,-0.01676128111934617,0.04152312044120613,False,-0.021093439966938077,0.045972909730577986,0.886
loss10,topology_ews,topology,120,500,0.005571841722661355,-0.009896616808874695,0.040481138140066035,False,-0.013552864353171618,0.05426094076568758,0.738
loss075,combined_z,market,20,500,0.0021026766049962176,-0.009333962860776852,0.012721702303109407,True,-0.012612812264287095,0.014387688429077934,0.698
loss075,combined_ews,market,20,500,-0.04665224071435051,-0.10095115723907316,0.0020019413517542656,True,-0.11269995472128329,0.0076962251558429316,0.03
loss075,combined,market,20,500,-0.003589004616157132,-0.014923239181892842,0.006540930197748969,False,-0.01606289164304336,0.007751915245594491,0.244
loss075,combined_z_correlation,market_correlation,20,500,-0.027280495294895596,-0.08450162439743811,0.015003743496406223,False,-0.09309096954842744,0.01588841858354665,0.178
loss075,combined_ews_correlation,market_correlation,20,500,-0.025359969801131227,-0.0649271766357555,0.006904655420677082,False,-0.07178098549990618,0.01017775521181578,0.068
loss075,combined_correlation,market_correlation,20,500,-0.006127811468231825,-0.035091780342684877,0.011538816135329328,False,-0.041371656409878145,0.015149885314100914,0.296
loss075,combined_z,VIX,20,500,0.004707968665456752,-0.01953711654808288,0.03097273508973525,False,-0.02100787429011548,0.03336698578177746,0.68
loss075,combined_ews,VIX,20,500,-0.04404694865388997,-0.10412584184960463,0.009117567501542405,False,-0.11302306927842555,0.012314847421503588,0.062
loss075,combined,VIX,20,500,-0.0009837125556965975,-0.020106060580878764,0.02168614273518061,False,-0.022817487486652622,0.024328589548561447,0.472
