target,model,budget,n_addendum,positives_addendum,prevalence_addendum,auroc_addendum,average_precision_addendum,false_positive_days_addendum,true_positive_days_addendum,false_negative_days_addendum,false_positive_rate_addendum,recall_addendum,precision_addendum,time_under_warning_addendum,alarm_episodes_addendum,false_alarm_episodes_addendum,within_year_auroc_addendum,within_year_ap_addendum,years_with_both_classes_addendum,n_phase1,positives_phase1,prevalence_phase1,auroc_phase1,average_precision_phase1,false_positive_days_phase1,true_positive_days_phase1,false_negative_days_phase1,false_positive_rate_phase1,recall_phase1,precision_phase1,time_under_warning_phase1,alarm_episodes_phase1,false_alarm_episodes_phase1,within_year_auroc_phase1,within_year_ap_phase1,years_with_both_classes_phase1,ap_lift,auroc_difference,ap_difference
loss10,combined,0.05,4510,197,0.04368070953436807,0.7598642282039543,0.19018645771016196,590,77,120,0.13679573382796198,0.39086294416243655,0.11544227886056972,0.14789356984478935,62,55,0.5955877714838916,0.2147311576681993,9,4510,197,0.043680709534368,0.7537559097098725,0.180460912598761,579,70,127,0.1342453048921864,0.3553299492385787,0.1078582434514637,0.1439024390243902,74,67,0.5932272238199987,0.2095352349240302,9,4.131364039697524,0.006108318494081777,0.009725545111400974
loss10,market,0.05,4510,197,0.04368070953436807,0.7643295384865259,0.194876989133023,650,85,112,0.15070716438673776,0.43147208121827413,0.11564625850340136,0.1629711751662971,47,39,0.5918163094960409,0.21637068921808367,9,4510,197,0.043680709534368,0.7592110265152807,0.178125932021353,667,81,116,0.1546487363783909,0.4111675126903553,0.1082887700534759,0.1658536585365853,53,47,0.5860480432025895,0.2088784286967883,9,4.077908392976153,0.005118511971245132,0.01675105711167002
loss10,topology,0.05,4510,197,0.04368070953436807,0.6134917337620535,0.05458320659512373,552,80,117,0.1279851611407373,0.40609137055837563,0.12658227848101267,0.1401330376940133,146,126,0.5848115386183477,0.1780314102511504,9,4510,197,0.043680709534368,0.582455826500216,0.0513270499756432,544,72,125,0.1261303037329005,0.365482233502538,0.1168831168831168,0.1365853658536585,146,122,0.5679859387272534,0.1819456976755249,9,1.1750507380210709,0.03103590726183747,0.0032561566194805325
loss075,combined,0.05,4510,389,0.08625277161862528,0.6939177290559546,0.21887924843828033,622,128,261,0.15093423926231497,0.32904884318766064,0.17066666666666666,0.1662971175166297,62,43,0.4973271389764916,0.23453850496181236,13,4510,389,0.0862527716186252,0.6942477210899843,0.2266775295455345,621,110,279,0.1506915797136617,0.2827763496143959,0.1504787961696306,0.1620842572062084,67,53,0.4961259899864303,0.2394901735773892,13,2.6280608181243204,-0.00032999203402972466,-0.007798281107254168
loss075,market,0.05,4510,389,0.08625277161862528,0.7035947922391363,0.22866595450893684,626,133,256,0.15190487745692793,0.34190231362467866,0.17523056653491437,0.16829268292682928,50,35,0.5016360154217767,0.23914692393087308,13,4510,389,0.0862527716186252,0.7055616445705082,0.2302665341616916,643,131,258,0.156030089784033,0.3367609254498714,0.169250645994832,0.1716186252771618,61,47,0.4998754117874399,0.2390767398280769,13,2.669671128712672,-0.001966852331371838,-0.0016005796527547578
loss075,topology,0.05,4510,389,0.08625277161862528,0.6222763960877542,0.11439371197549707,516,133,256,0.12521232710507157,0.34190231362467866,0.2049306625577812,0.14390243902439023,117,83,0.5490761786308055,0.26007243262067503,13,4510,389,0.0862527716186252,0.6048435843996733,0.1084289590104034,494,112,277,0.1198738170347003,0.2879177377892031,0.1848184818481848,0.1343680709534368,122,84,0.539890057699551,0.2617922533082555,13,1.2571069540794848,0.017432811688080863,0.0059647529650936615
loss05,combined,0.05,4510,805,0.17849223946784923,0.6459218279813246,0.3245328265684166,500,218,587,0.1349527665317139,0.2708074534161491,0.30362116991643456,0.15920177383592019,60,36,0.49871099829828297,0.33027041690708364,17,4510,805,0.1784922394678492,0.6532827050904855,0.3259878546202688,499,227,578,0.1346828609986504,0.2819875776397516,0.3126721763085399,0.1609756097560975,70,42,0.5024562217608041,0.3339896433251947,17,1.826341893586848,-0.0073608771091608904,-0.001455028051852214
loss05,market,0.05,4510,805,0.17849223946784923,0.6529383659818443,0.3184845882542652,502,236,569,0.13549257759784075,0.29316770186335406,0.31978319783197834,0.16363636363636364,54,25,0.486482017763828,0.32052137264186376,17,4510,805,0.1784922394678492,0.6598640413743387,0.3281914267706236,538,264,541,0.1452091767881241,0.3279503105590062,0.3291770573566084,0.1778270509977827,62,36,0.4834386155292122,0.3244037349517303,17,1.838687372342252,-0.006925675392494446,-0.009706838516358396
loss05,topology,0.05,4510,805,0.17849223946784923,0.5542813555628201,0.22218754662998916,424,196,609,0.11443994601889339,0.24347826086956523,0.3161290322580645,0.13747228381374724,134,78,0.5027421510390975,0.343219553389671,17,4510,805,0.1784922394678492,0.5407709910227072,0.2124229796836349,403,195,610,0.1087719298245614,0.2422360248447205,0.3260869565217391,0.1325942350332594,141,79,0.4931222365026337,0.3323276061615243,17,1.1900964451840914,0.013510364540112896,0.009764566946354247
