model,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes,coverage_trend_variables
LR_base,4510,197,0.04368070953436807,0.6291862283899108,0.20494152886669137,509,59,138,0.11801530257361466,0.29949238578680204,0.10387323943661972,0.12594235033259424,105,97,0.5728691041268534,0.24784991065307124,9,none
LR_enhanced_base,4510,197,0.04368070953436807,0.3868201553325385,0.036991872571334815,457,33,164,0.10595872942267563,0.16751269035532995,0.0673469387755102,0.10864745011086474,92,80,0.5667718995184317,0.18119222721268619,9,included
LR_enhanced_base_clean,4510,197,0.04368070953436807,0.6695070151507483,0.12274392907842224,506,71,126,0.11731973104567586,0.3604060913705584,0.12305025996533796,0.12793791574279378,67,54,0.6222651397886068,0.19222320465473508,9,removed
LR_enhanced_combined,4510,197,0.04368070953436807,0.3980234469982734,0.03750628762041574,360,31,166,0.08346858335265477,0.15736040609137056,0.0792838874680307,0.08669623059866963,100,91,0.5816908774555403,0.19161291427048727,9,included
LR_enhanced_combined_clean,4510,197,0.04368070953436807,0.6413816804584416,0.13135166652679503,375,55,142,0.08694644099234872,0.27918781725888325,0.12790697674418605,0.09534368070953436,99,89,0.612373324199874,0.20654577837710425,9,removed
XGB_enhanced_base,4510,197,0.04368070953436807,0.6528262448199929,0.07684416282629442,597,95,102,0.13841873405981917,0.48223350253807107,0.13728323699421965,0.15343680709534369,48,42,0.5033404707069136,0.16133911294562306,9,included
XGB_enhanced_base_clean,4510,197,0.04368070953436807,0.7016686655030653,0.0922280967886138,632,92,105,0.14653373521910504,0.467005076142132,0.1270718232044199,0.1605321507760532,42,35,0.5168948238235266,0.15742475679101392,9,removed
XGB_enhanced_combined,4510,197,0.04368070953436807,0.6839845538397078,0.07760292143793164,625,87,110,0.14491073498724785,0.4416243654822335,0.12219101123595505,0.15787139689578714,47,38,0.5172155091309104,0.1524953624097037,9,included
XGB_enhanced_combined_clean,4510,197,0.04368070953436807,0.723655081261821,0.08912700199017042,643,97,100,0.1490841641548806,0.49238578680203043,0.13108108108108107,0.164079822616408,42,34,0.5221068649588252,0.14755047951031605,9,removed
