target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes,ap_lift
loss10,VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48,0.5957558554878133,0.2470931117882754,9,5.032926899612147
loss10,VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73,0.5957558554878133,0.2470931117882754,9,5.032926899612147
loss10,VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86,0.5957558554878133,0.2470931117882754,9,5.032926899612147
loss10,combined,0.01,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,331,58,139,0.07674472524924647,0.29441624365482233,0.14910025706940874,0.08625277161862528,57,50,0.5932272238199987,0.20953523492403028,9,4.131364039697524
loss10,combined,0.05,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,579,70,127,0.13424530489218642,0.3553299492385787,0.10785824345146379,0.14390243902439023,74,67,0.5932272238199987,0.20953523492403028,9,4.131364039697524
loss10,combined,0.1,4510,197,0.04368070953436807,0.7537559097098725,0.18046091259876101,828,99,98,0.19197774171110596,0.5025380710659898,0.10679611650485436,0.20554323725055432,73,63,0.5932272238199987,0.20953523492403028,9,4.131364039697524
loss10,combined_correlation,0.01,4510,197,0.04368070953436807,0.7424831785853417,0.1532708109005228,305,52,145,0.07071643867377696,0.2639593908629442,0.14565826330532214,0.07915742793791575,47,43,0.5903234402637724,0.2165414233121807,9,3.508890137874913
loss10,combined_correlation,0.05,4510,197,0.04368070953436807,0.7424831785853417,0.1532708109005228,537,65,132,0.12450730350104336,0.3299492385786802,0.1079734219269103,0.13348115299334812,63,57,0.5903234402637724,0.2165414233121807,9,3.508890137874913
loss10,combined_correlation,0.1,4510,197,0.04368070953436807,0.7424831785853417,0.1532708109005228,795,99,98,0.18432645490377927,0.5025380710659898,0.11073825503355705,0.1982261640798226,102,88,0.5903234402637724,0.2165414233121807,9,3.508890137874913
loss10,combined_ews,0.01,4510,197,0.04368070953436807,0.7734002149092403,0.15747318818209927,418,74,123,0.09691629955947137,0.3756345177664975,0.15040650406504066,0.10909090909090909,41,33,0.6520891185787683,0.20544245304862957,9,3.6050968461993285
loss10,combined_ews,0.05,4510,197,0.04368070953436807,0.7734002149092403,0.15747318818209927,614,87,110,0.1423603060514723,0.4416243654822335,0.12410841654778887,0.15543237250554323,40,33,0.6520891185787683,0.20544245304862957,9,3.6050968461993285
loss10,combined_ews,0.1,4510,197,0.04368070953436807,0.7734002149092403,0.15747318818209927,734,107,90,0.17018316716902387,0.5431472081218274,0.1272294887039239,0.18647450110864744,42,34,0.6520891185787683,0.20544245304862957,9,3.6050968461993285
loss10,combined_ews_correlation,0.01,4510,197,0.04368070953436807,0.7458139187275867,0.15053995383708008,426,66,131,0.09877115696730814,0.3350253807106599,0.13414634146341464,0.10909090909090909,37,30,0.6440973013762734,0.22905027325678487,9,3.44637153200625
loss10,combined_ews_correlation,0.05,4510,197,0.04368070953436807,0.7458139187275867,0.15053995383708008,638,87,110,0.1479248782749826,0.4416243654822335,0.12,0.1607538802660754,44,38,0.6440973013762734,0.22905027325678487,9,3.44637153200625
