basket,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
credit_bond_ETFs,target_combined,target_market,20,441,-0.00023291537848875443,-0.0023261814993786687,0.00022153553263988893,False,-0.004008583694525597,0.0003732004721099594,0.25396825396825395
credit_bond_ETFs,target_topology,target_market,20,441,-0.0004123735388177679,-0.015053194938240177,0.0038703773485737857,False,-0.018764107607666322,0.004326705382280988,0.4897959183673469
credit_bond_ETFs,target_topology_xgb,target_topology,20,441,0.0014416401567017003,0.00024385815291844766,0.004210230709964053,False,1.1267157438494966e-05,0.004775196496889251,0.9909297052154195
credit_bond_ETFs,target_combined,target_topology_xgb,20,441,-0.0012621819963726869,-0.007172895220222228,0.013756883646624442,False,-0.008333903308427048,0.01659415836243885,0.3741496598639456
credit_bond_ETFs,target_combined,target_market,60,369,-0.00023291537848875443,-0.0015430533521490093,0.00046927139824865763,False,-0.0030194751333775735,0.0006130113246142254,0.2899728997289973
credit_bond_ETFs,target_topology,target_market,60,369,-0.0004123735388177679,-0.008605192467248059,0.0023004886624086503,False,-0.016602797913076443,0.0026970900774447664,0.3983739837398374
credit_bond_ETFs,target_topology_xgb,target_topology,60,369,0.0014416401567017003,0.00029384851796628665,0.004695713816176777,False,-8.068761842949257e-07,0.0054931388334706465,0.983739837398374
credit_bond_ETFs,target_combined,target_topology_xgb,60,369,-0.0012621819963726869,-0.00612992984886394,0.006563333653925268,False,-0.006557621221565444,0.01185563115638464,0.2682926829268293
credit_bond_ETFs,target_combined,target_market,120,339,-0.00023291537848875443,-0.0012733695577761919,0.0011456112581466808,False,-0.001686688120871051,0.0012299880115460952,0.28023598820059
credit_bond_ETFs,target_topology,target_market,120,339,-0.0004123735388177679,-0.01327509123489002,0.0018238503361769703,False,-0.02008962325191345,0.002357271209795404,0.3392330383480826
credit_bond_ETFs,target_topology_xgb,target_topology,120,339,0.0014416401567017003,0.0003244773469075919,0.005372917622521482,False,0.00020076915252544621,0.005891083907765703,0.9970501474926253
credit_bond_ETFs,target_combined,target_topology_xgb,120,339,-0.0012621819963726869,-0.006450983287797322,0.012919531047007361,False,-0.007934958014531205,0.020258652968622903,0.3274336283185841
international_indices,target_combined,target_market,20,495,0.0,0.0,0.0,False,0.0,0.0,0.0
international_indices,target_topology,target_market,20,495,-0.14807759732310014,-0.42771255269284514,-0.03726804202920628,False,-0.494174272375895,-0.031144235668545246,0.0
international_indices,target_topology_xgb,target_topology,20,495,-9.750929058943703e-05,-0.0012002247231847343,0.0,False,-0.001374240379208813,0.0,0.0
international_indices,target_combined,target_topology_xgb,20,495,0.14817510661368957,0.03835912919829199,0.42771255269284486,False,0.03195574224174013,0.4945528965241163,1.0
international_indices,target_combined,target_market,60,441,0.0,0.0,0.0,False,0.0,0.0,0.0
international_indices,target_topology,target_market,60,441,-0.14807759732310014,-0.5420679019529665,-0.025891591652892725,False,-0.608447535024961,-0.016172925632838765,0.0
international_indices,target_topology_xgb,target_topology,60,441,-9.750929058943703e-05,-0.001338867318248762,0.0,False,-0.0016202305298277805,0.0,0.0
international_indices,target_combined,target_topology_xgb,60,441,0.14817510661368957,0.02607059136891713,0.542260873754222,False,0.0168092325573553,0.6084578248904724,1.0
international_indices,target_combined,target_market,120,385,0.0,0.0,0.0,False,0.0,0.0,0.0
international_indices,target_topology,target_market,120,385,-0.14807759732310014,-0.4773425015250498,-0.05785910204589541,False,-0.5452278825756782,-0.024155322829354724,0.0
international_indices,target_topology_xgb,target_topology,120,385,-9.750929058943703e-05,-0.0008607522283713162,0.0,False,-0.001363117740166428,0.0,0.0
international_indices,target_combined,target_topology_xgb,120,385,0.14817510661368957,0.05789826323035065,0.47744962432151117,False,0.024155322829354967,0.5453585886901777,1.0
