target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model
loss10,delay_topology,topology,20,500,-0.007679697840580042,-0.054522387709516874,0.022193682841730837,False,-0.06404197912642261,0.028056095265717687,0.288
loss10,delay_topology,market,20,500,-0.1344785798862898,-0.2836880281106269,-0.03738695199159762,False,-0.3240984729981561,-0.029425792025911175,0.0
loss10,combined_delay,market,20,500,0.015580982098462814,-0.013464934791777159,0.05585416002608023,False,-0.015608382394731815,0.06312465938686929,0.71
loss10,combined_delay,combined,20,500,0.01324600152105479,-0.014617436134948125,0.05106436975001343,False,-0.01878793663329756,0.06227228471818364,0.728
loss10,delay_topology,topology,60,500,-0.007679697840580042,-0.0542345504490885,0.02444042533625631,False,-0.0708593032147807,0.028945863886860414,0.306
loss10,delay_topology,market,60,500,-0.1344785798862898,-0.2747583767027005,-0.016791469343763254,False,-0.2960615855797703,-0.007134233682621005,0.006
loss10,combined_delay,market,60,500,0.015580982098462814,-0.010823903350603488,0.06180986048264096,False,-0.012908430680362647,0.06614423481683566,0.692
loss10,combined_delay,combined,60,500,0.01324600152105479,-0.012536265467286674,0.0583915691467779,False,-0.01503874849756342,0.06597694341801923,0.748
loss10,delay_topology,topology,120,500,-0.007679697840580042,-0.04894133021320126,0.01988394761434909,False,-0.05271804782499767,0.025708522472272805,0.3
loss10,delay_topology,market,120,500,-0.1344785798862898,-0.2607504737463978,-0.004423218419965945,False,-0.27628693565947904,-0.0009978733592399356,0.01
loss10,combined_delay,market,120,500,0.015580982098462814,-0.010008850367711363,0.04802130422729311,False,-0.010758587698381018,0.051528719867102196,0.726
loss10,combined_delay,combined,120,500,0.01324600152105479,-0.01035886352987071,0.04793909238817397,False,-0.01264644946999031,0.0520112608920768,0.788
loss075,delay_topology,topology,20,500,-0.017021095812066636,-0.06003354163372575,0.03844091885766915,False,-0.06577539246815593,0.05060852430932342,0.224
loss075,delay_topology,market,20,500,-0.13885867096335483,-0.24357416460641254,-0.03876714836966333,False,-0.2674027437768292,-0.028785683934527892,0.002
loss075,combined_delay,market,20,500,0.01694646408492298,-0.01169941032255432,0.04594419378717615,False,-0.013437551786975078,0.050238205710697835,0.794
loss075,combined_delay,combined,20,500,0.020535468701080112,-0.010691041994224246,0.05196676263110038,False,-0.012243621762819741,0.055260365221467746,0.858
loss075,delay_topology,topology,60,500,-0.017021095812066636,-0.05926940332988801,0.03567627823275534,False,-0.06212447173462459,0.04310535338315357,0.228
loss075,delay_topology,market,60,500,-0.13885867096335483,-0.247834748682465,-0.0041560035496196815,False,-0.26544475207032675,0.0053878895183244145,0.02
loss075,combined_delay,market,60,500,0.01694646408492298,-0.011555399290624628,0.05333807006842961,False,-0.012198482781289174,0.05932231715460849,0.776
loss075,combined_delay,combined,60,500,0.020535468701080112,-0.010521374371255386,0.057836368696500426,False,-0.01218997211857615,0.06045706403356611,0.852
loss075,delay_topology,topology,120,500,-0.017021095812066636,-0.058005986598188695,0.03216480541141578,False,-0.06263147761735911,0.03990102894006422,0.226
loss075,delay_topology,market,120,500,-0.13885867096335483,-0.25326635590720165,-0.00035965218933938425,False,-0.27208512338711416,0.015117920844602308,0.026
loss075,combined_delay,market,120,500,0.01694646408492298,-0.011697142934424596,0.045644326511934924,False,-0.012998823101701413,0.05158697539442665,0.788
loss075,combined_delay,combined,120,500,0.020535468701080112,-0.013479294413558723,0.05035423529306183,False,-0.01548164268967009,0.058302721291490146,0.848
loss05,delay_topology,topology,20,500,-0.039675681899118354,-0.10029623420149326,0.02753898470252415,False,-0.10433386798032267,0.03527835972148942,0.122
loss05,delay_topology,market,20,500,-0.15544412898610704,-0.24115396508463524,-0.0656005443265055,False,-0.254022339946578,-0.05631613819430622,0.0
loss05,combined_delay,market,20,500,-0.019706699883917655,-0.05229771787108588,0.017045681803368167,False,-0.05652245181819307,0.02285278947072545,0.166
loss05,combined_delay,combined,20,500,-0.01750312773356283,-0.049856251651941505,0.021808430916027514,False,-0.056750356728736163,0.026589829937153038,0.208
loss05,delay_topology,topology,60,500,-0.039675681899118354,-0.11313284633102692,0.03635654843368081,False,-0.12501021104021304,0.0471095896793761,0.16
loss05,delay_topology,market,60,500,-0.15544412898610704,-0.2520422137410966,-0.031086492712749176,False,-0.2599808676186111,-0.005208252033292447,0.01
loss05,combined_delay,market,60,500,-0.019706699883917655,-0.050075382324217196,0.021300259951922616,False,-0.0561482182380595,0.027817403583429434,0.222
loss05,combined_delay,combined,60,500,-0.01750312773356283,-0.04578014911918257,0.02364888500371749,False,-0.0506554961904469,0.029941736088073843,0.254
loss05,delay_topology,topology,120,500,-0.039675681899118354,-0.12104274930021569,0.03543208236028736,False,-0.13079713432134843,0.04233326934131061,0.168
loss05,delay_topology,market,120,500,-0.15544412898610704,-0.26976969189600153,-0.02117797265502498,False,-0.2885040447539932,-0.0014656834403564936,0.012
loss05,combined_delay,market,120,500,-0.019706699883917655,-0.04622317538800108,0.02181235548940373,False,-0.05194547331846223,0.029981981023797503,0.206
loss05,combined_delay,combined,120,500,-0.01750312773356283,-0.04536750343173867,0.024345101023182124,False,-0.04699721840756811,0.03373070025398814,0.274
