basket,model,budget,event,onset,peak,fully_observed,first_alarm,lead_sessions,alarm_days,censored
credit_bond_ETFs,target_topology_xgb,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
credit_bond_ETFs,target_topology_xgb,0.05,2020-02-27,2020-02-27,2020-02-19,True,,,0,False
credit_bond_ETFs,target_topology_xgb,0.05,2022-02-22,2022-02-22,2022-01-03,True,2022-02-04,11.0,2,False
credit_bond_ETFs,target_topology_xgb,0.1,2015-08-24,2015-08-24,2015-07-20,True,,,0,False
credit_bond_ETFs,target_topology_xgb,0.1,2018-02-08,2018-02-08,2018-01-26,True,,,0,False
credit_bond_ETFs,target_topology_xgb,0.1,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
credit_bond_ETFs,target_topology_xgb,0.1,2020-02-27,2020-02-27,2020-02-19,True,,,0,False
credit_bond_ETFs,target_topology_xgb,0.1,2022-02-22,2022-02-22,2022-01-03,True,2022-02-04,11.0,2,False
international_indices,target_combined,0.01,2008-01-08,2008-01-08,2007-10-09,False,2007-12-07,20.0,12,False
international_indices,target_combined,0.01,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_combined,0.01,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_combined,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_combined,0.01,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_combined,0.01,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_combined,0.05,2008-01-08,2008-01-08,2007-10-09,False,2007-12-07,20.0,12,False
international_indices,target_combined,0.05,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_combined,0.05,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_combined,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_combined,0.05,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_combined,0.05,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_combined,0.1,2008-01-08,2008-01-08,2007-10-09,False,2007-12-07,20.0,12,False
international_indices,target_combined,0.1,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_combined,0.1,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_combined,0.1,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_combined,0.1,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_combined,0.1,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_market,0.01,2008-01-08,2008-01-08,2007-10-09,False,2007-12-07,20.0,12,False
international_indices,target_market,0.01,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_market,0.01,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_market,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_market,0.01,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_market,0.01,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_market,0.05,2008-01-08,2008-01-08,2007-10-09,False,2007-12-07,20.0,12,False
international_indices,target_market,0.05,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_market,0.05,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_market,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_market,0.05,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_market,0.05,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_market,0.1,2008-01-08,2008-01-08,2007-10-09,False,2007-12-07,20.0,12,False
international_indices,target_market,0.1,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_market,0.1,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_market,0.1,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_market,0.1,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_market,0.1,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_topology,0.01,2008-01-08,2008-01-08,2007-10-09,False,,,0,False
international_indices,target_topology,0.01,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_topology,0.01,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_topology,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_topology,0.01,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_topology,0.01,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_topology,0.05,2008-01-08,2008-01-08,2007-10-09,False,,,0,False
international_indices,target_topology,0.05,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_topology,0.05,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_topology,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_topology,0.05,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_topology,0.05,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_topology,0.1,2008-01-08,2008-01-08,2007-10-09,False,,,0,False
international_indices,target_topology,0.1,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_topology,0.1,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_topology,0.1,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_topology,0.1,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_topology,0.1,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_topology_xgb,0.01,2008-01-08,2008-01-08,2007-10-09,False,,,0,False
international_indices,target_topology_xgb,0.01,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_topology_xgb,0.01,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_topology_xgb,0.01,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_topology_xgb,0.01,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_topology_xgb,0.01,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_topology_xgb,0.05,2008-01-08,2008-01-08,2007-10-09,False,,,0,False
international_indices,target_topology_xgb,0.05,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_topology_xgb,0.05,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_topology_xgb,0.05,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_topology_xgb,0.05,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_topology_xgb,0.05,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
international_indices,target_topology_xgb,0.1,2008-01-08,2008-01-08,2007-10-09,False,,,0,False
international_indices,target_topology_xgb,0.1,2015-08-24,2015-08-24,2015-07-20,False,,,0,False
international_indices,target_topology_xgb,0.1,2018-02-08,2018-02-08,2018-01-26,False,,,0,False
international_indices,target_topology_xgb,0.1,2018-12-14,2018-12-14,2018-09-20,True,,,0,False
international_indices,target_topology_xgb,0.1,2020-02-27,2020-02-27,2020-02-19,False,,,0,False
international_indices,target_topology_xgb,0.1,2022-02-22,2022-02-22,2022-01-03,False,,,0,False
