target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss10,VIX,0.01,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,350,68,129,0.0811500115928588,0.34517766497461927,0.16267942583732056,0.09268292682926829,53,48,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.05,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,688,79,118,0.15951773707396244,0.4010152284263959,0.10299869621903521,0.17006651884700666,78,73,0.5957558554878133,0.2470931117882754,9
loss10,VIX,0.1,4510,197,0.04368070953436807,0.7439684768395867,0.21984181800966585,1019,118,79,0.2362624623232089,0.5989847715736041,0.10378188214599825,0.25210643015521067,95,86,0.5957558554878133,0.2470931117882754,9
loss10,combined,0.01,4510,197,0.04368070953436807,0.7598642282039543,0.19018645771016196,386,67,130,0.08949686992812428,0.3401015228426396,0.1479028697571744,0.10044345898004435,52,45,0.5955877714838916,0.2147311576681993,9
loss10,combined,0.05,4510,197,0.04368070953436807,0.7598642282039543,0.19018645771016196,590,77,120,0.13679573382796198,0.39086294416243655,0.11544227886056972,0.14789356984478935,62,55,0.5955877714838916,0.2147311576681993,9
loss10,combined,0.1,4510,197,0.04368070953436807,0.7598642282039543,0.19018645771016196,838,114,83,0.19429631347090193,0.5786802030456852,0.11974789915966387,0.21108647450110865,60,52,0.5955877714838916,0.2147311576681993,9
loss10,combined_orthogonal,0.01,4510,197,0.04368070953436807,0.7614566279963421,0.18312137239769352,395,69,128,0.09158358451194064,0.350253807106599,0.14870689655172414,0.10288248337028826,59,49,0.5936382551422938,0.2143551907319491,9
loss10,combined_orthogonal,0.05,4510,197,0.04368070953436807,0.7614566279963421,0.18312137239769352,583,82,115,0.1351727335961048,0.41624365482233505,0.12330827067669173,0.14745011086474502,75,67,0.5936382551422938,0.2143551907319491,9
loss10,combined_orthogonal,0.1,4510,197,0.04368070953436807,0.7614566279963421,0.18312137239769352,833,114,83,0.19313702759100393,0.5786802030456852,0.12038014783526928,0.2099778270509978,87,73,0.5936382551422938,0.2143551907319491,9
loss10,market,0.01,4510,197,0.04368070953436807,0.7643295384865259,0.194876989133023,475,67,130,0.11013215859030837,0.3401015228426396,0.12361623616236163,0.12017738359201774,39,31,0.5918163094960409,0.21637068921808367,9
loss10,market,0.05,4510,197,0.04368070953436807,0.7643295384865259,0.194876989133023,650,85,112,0.15070716438673776,0.43147208121827413,0.11564625850340136,0.1629711751662971,47,39,0.5918163094960409,0.21637068921808367,9
loss10,market,0.1,4510,197,0.04368070953436807,0.7643295384865259,0.194876989133023,878,119,78,0.2035706005100858,0.6040609137055838,0.119358074222668,0.22106430155210643,62,50,0.5918163094960409,0.21637068921808367,9
loss10,topology,0.01,4510,197,0.04368070953436807,0.6134917337620535,0.05458320659512373,271,23,174,0.06283329469047066,0.116751269035533,0.0782312925170068,0.06518847006651884,99,85,0.5848115386183477,0.1780314102511504,9
loss10,topology,0.05,4510,197,0.04368070953436807,0.6134917337620535,0.05458320659512373,552,80,117,0.1279851611407373,0.40609137055837563,0.12658227848101267,0.1401330376940133,146,126,0.5848115386183477,0.1780314102511504,9
loss10,topology,0.1,4510,197,0.04368070953436807,0.6134917337620535,0.05458320659512373,781,96,101,0.18108045444006493,0.4873096446700508,0.10946408209806158,0.19445676274944568,160,147,0.5848115386183477,0.1780314102511504,9
loss10,topology_orthogonal,0.01,4510,197,0.04368070953436807,0.47411026279892804,0.03886881119886976,72,2,195,0.016693716670530954,0.01015228426395939,0.02702702702702703,0.016407982261640797,45,43,0.5255208645922235,0.1763676511812923,9
loss10,topology_orthogonal,0.05,4510,197,0.04368070953436807,0.47411026279892804,0.03886881119886976,218,8,189,0.05054486436355205,0.04060913705583756,0.035398230088495575,0.050110864745011086,132,127,0.5255208645922235,0.1763676511812923,9
