target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model,source,p_approx,q_value_bh,significant_fdr_5pct
loss10,topology_pi_xgb_regime,topology_pi_xgb,60,500,-0.1130652263535397,-0.23051146687965426,-0.02368794056383061,False,-0.2545969362857292,-0.014872699637434468,0.002,phase6_regime_pi_60day,0.004,0.006000000000000001,True
loss10,combined_pi_xgb_regime,market,60,500,-0.19457611283061804,-0.3543482596579126,-0.0244413989046889,False,-0.38681719926502006,-0.013213292537842463,0.004,phase6_regime_pi_60day,0.008,0.010285714285714287,True
loss10,combined_pi_xgb_regime,combined,60,500,-0.19447278024617715,-0.35272621545195576,-0.025390266324724676,False,-0.3860160329025058,-0.01375262405927781,0.006,phase6_regime_pi_60day,0.012,0.0135,True
loss075,topology_pi_xgb_regime,topology_pi_xgb,60,500,-0.09627082513535751,-0.17902586341410914,-0.023757225812089968,False,-0.19380298173345303,-0.01780537894644117,0.0,phase6_regime_pi_60day,0.001996007984031936,0.006000000000000001,True
loss075,combined_pi_xgb_regime,market,60,500,-0.19637811116875317,-0.3356692925116373,-0.04554025041523713,False,-0.3630157034426759,-0.030678857113652168,0.002,phase6_regime_pi_60day,0.004,0.006000000000000001,True
loss075,combined_pi_xgb_regime,combined,60,500,-0.18898118168798242,-0.3297906709631361,-0.04051546946323169,False,-0.35347043246365234,-0.032125726540220334,0.0,phase6_regime_pi_60day,0.001996007984031936,0.006000000000000001,True
loss05,topology_pi_xgb_regime,topology_pi_xgb,60,500,-0.07306517251213729,-0.15081949448947593,0.00967443738032237,False,-0.15873435144886336,0.01833968296303703,0.044,phase6_regime_pi_60day,0.088,0.088,False
loss05,combined_pi_xgb_regime,market,60,500,-0.16765596464841243,-0.27754739941872086,-0.05145016800215574,False,-0.2952459564576918,-0.037885750760452204,0.002,phase6_regime_pi_60day,0.004,0.006000000000000001,True
loss05,combined_pi_xgb_regime,combined,60,500,-0.17790222981476467,-0.2864779634223725,-0.0608900079211931,False,-0.3004284269695442,-0.04973055594748094,0.002,phase6_regime_pi_60day,0.004,0.006000000000000001,True
