model,earlier_panel,current_panel,earlier_auroc,current_auroc,earlier_ap,current_ap,delta_ap
LR_base,supplied retrospective filter,fresh public quotes,0.630930453439666,0.633949304487319,0.20440248891879018,0.20529900429090597,0.000896515372115797
LR_combined,supplied retrospective filter,fresh public quotes,0.62004728944838,0.610412858775441,0.21011834112672378,0.17903952423199349,-0.0310788168947303
LR_dynamic_combined,supplied retrospective filter,fresh public quotes,0.6220622106934413,0.6069432397156043,0.18949235796309413,0.16917429418589996,-0.020318063777194167
LR_enhanced_base,supplied retrospective filter,fresh public quotes,0.3797549846350486,0.3791676915852322,0.0353372825795719,0.0364424575314066,0.0011051749518346948
LR_enhanced_combined,supplied retrospective filter,fresh public quotes,0.43882442527078447,0.38004098105008943,0.04375439935966499,0.03478837426644784,-0.008966025093217152
LR_topology,supplied retrospective filter,fresh public quotes,0.46255741995925437,0.44153491804378453,0.047576928391756944,0.03996386966075585,-0.007613058731001092
VIX,supplied retrospective filter,fresh public quotes,0.7439684768395867,0.7439684768395867,0.21984181800966585,0.21984181800966585,0.0
XGB_base,supplied retrospective filter,fresh public quotes,0.6688449864122279,0.6623553393647583,0.07784158258502,0.07627471928394394,-0.0015668633010760546
XGB_combined,supplied retrospective filter,fresh public quotes,0.6759778311585444,0.6777820801472587,0.07352433638953698,0.07365579226433133,0.0001314558747943506
XGB_enhanced_base,supplied retrospective filter,fresh public quotes,0.6181424120914105,0.6472263643970948,0.061062959447241834,0.06857037906589558,0.007507419618653748
XGB_enhanced_combined,supplied retrospective filter,fresh public quotes,0.6437402681775437,0.6759460537790953,0.06241857367361204,0.06859913310549368,0.006180559431881637
XGB_full_topology,supplied retrospective filter,fresh public quotes,0.7000986275702897,0.6814935603729018,0.07488922850232337,0.06732898000393145,-0.007560248498391917
XGB_topology,supplied retrospective filter,fresh public quotes,0.698820470752453,0.6810227843810649,0.07270335904478424,0.06769831708543447,-0.005005041959349768
constant,supplied retrospective filter,fresh public quotes,0.4248665055828148,0.4248665055828148,0.04453824107986666,0.04453824107986666,0.0
