model,reference,delta_average_precision,lower95,upper95,bootstrap_samples,block_sessions
LR_combined,LR_base,-0.0006826139534324427,-0.019754710314853704,0.01890885291294409,500,60
XGB_combined,XGB_base,0.0015167362958808939,-0.015638612349003822,0.02036492382188594,500,60
LR_dynamic_combined,LR_base,-0.036020061822037736,-0.09008309984134064,0.0011603304013842952,500,60
LR_combined,VIX,-0.01558290309640692,-0.06444641778884098,0.026395887168209183,500,60
LR_enhanced_combined,LR_enhanced_base,0.0005144150490809241,-0.017697329884769793,0.01318727977468208,500,60
XGB_enhanced_combined,XGB_enhanced_base,0.0007587586116372252,-0.037457059152885046,0.01111887062522011,500,60
LR_enhanced_base,LR_base,-0.16794965629535655,-0.3330513918083093,-0.005081695831017721,500,60
XGB_enhanced_base,XGB_base,-0.0010701246820653265,-0.04490354909892295,0.04494954509954231,500,60
