universe,model,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes
credit_bond_ETFs,frozen_US_topology,4363,91,0.02085720834288334,0.6595297258920855,0.052831601320996784,691,68,23,0.161750936329588,0.7472527472527473,0.08959156785243742,0.17396286958514784,3,2
credit_bond_ETFs,target_momentum,4363,91,0.02085720834288334,0.8116588467712064,0.1405385450387267,302,35,56,0.07069288389513109,0.38461538461538464,0.10385756676557864,0.07724043089617236,75,68
credit_bond_ETFs,target_volatility,4363,91,0.02085720834288334,0.7997129275219163,0.2627434077482145,364,47,44,0.0852059925093633,0.5164835164835165,0.11435523114355231,0.09420123768049507,20,18
international_indices,frozen_US_topology,1394,46,0.03299856527977044,0.8302154560701844,0.14408732295836502,245,42,4,0.18175074183976261,0.9130434782608695,0.14634146341463414,0.20588235294117646,1,0
international_indices,target_momentum,1394,46,0.03299856527977044,0.7205360598632435,0.1684770188151978,71,15,31,0.052670623145400594,0.32608695652173914,0.1744186046511628,0.06169296987087518,20,17
international_indices,target_volatility,1394,46,0.03299856527977044,0.9479905818604051,0.39845037725870575,127,29,17,0.09421364985163205,0.6304347826086957,0.1858974358974359,0.11190817790530846,11,10
